{'timestamp': '2025-12-01T02:49:50.125899', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.113.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:50:31.557443', 'alert_type': 'PORT_SCAN', 'threat_level': 'high', 'source_ip': '8.8.8.8', 'destination_ip': '192.168.0.106', 'description': 'Possible port scan detected: 20 unique ports', 'details': {'ports_scanned': 20, 'sample_ports': [59530, 33164, 51090, 53298, 59700, 59701, 59704, 4809, 53841, 54227]}}
{'timestamp': '2025-12-01T02:50:31.783375', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.22', 'destination_ip': None, 'description': 'High connection rate: 211/min', 'details': {'connections_per_minute': 211, 'threshold': 50}}
{'timestamp': '2025-12-01T02:50:35.117931', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 596/min', 'details': {'connections_per_minute': 596, 'threshold': 50}}
{'timestamp': '2025-12-01T02:50:50.948379', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.114.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:51:23.342030', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '17.248.153.71', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:51:31.812301', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.22', 'destination_ip': None, 'description': 'High connection rate: 1235/min', 'details': {'connections_per_minute': 1235, 'threshold': 50}}
{'timestamp': '2025-12-01T02:51:35.494650', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 1404/min', 'details': {'connections_per_minute': 1404, 'threshold': 50}}
{'timestamp': '2025-12-01T02:53:33.860337', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:53:49.549347', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '17.248.153.71', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:54:31.063660', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:54:34.018667', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 319/min', 'details': {'connections_per_minute': 319, 'threshold': 50}}
{'timestamp': '2025-12-01T02:54:48.616983', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.113.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:54:50.380885', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '17.248.153.71', 'destination_ip': None, 'description': 'High connection rate: 115/min', 'details': {'connections_per_minute': 115, 'threshold': 50}}
{'timestamp': '2025-12-01T02:56:27.489360', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:56:33.379964', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '142.251.222.97', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:56:44.757040', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '17.248.216.68', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
